Topology,embed_type,space_group,genus,vertices,edges
csp,1b,Pm-3n,121,3,7
csq,4,P6/mmm,16,2,1
csqa,1b,P6/mmm,37,2,6
cssa,4,P-4n2,17,2,6
ctn,1b,I-43d,11,2,1
ctnd,1b,I-43d,11,2,2
ctt,2,I4/mcm,17,3,2
cus,1b,Cmcm,9,2,4
cut,1b,P4/mmm,6,2,2
ddc,1b,Pm-3,17,2,3
dea,1b,Pna2(1),9,3,5
deh,2b,I4(1)/amd,9,1,3
dei,1b,I4(1)/amd,17,1,4
dft,1b,P4(2)/mmc,9,1,3
dfte,1b,P4(2)/mmc,33,3,4
dgn,1b,P432,17,2,3
dgp,4,I4/mmm,19,2,3
diag,1b,I4(1)22,5,1,3
diaj,1a,Fd-3m,49,1,3
dma,1b,C2/c,5,2,5
dmb,1b,P4(1)22,9,2,4
dmc,1b,P2(1)/c,7,2,4
dmd,1b,P4(2)/mmc,5,2,2
dme,1b,C2/m,6,2,5
dmf,1b,C222,4,2,3
dmg,1b,Pmmm,5,3,4
dmh,ib,Pmna,9,3,4
dmp,2b,Pnna,5,1,2
dna,4,Im-3m,39,3,2
dni,4,I432,18,3,2
dnj,4,Pn-3m,39,3,2
dnl,1b,Fd-3m,25,3,2
dnq,4,P-4m2,7,3,2
dnr,2,P6/mmm,16,3,2
dnu,4,Im-3m,55,3,2
dnx,2,Im-3m,23,3,2
dnz,4,Fd-3m,25,3,2
doh,1b,P6/mmm,35,4,7
dpa,2,Ia-3d,33,3,2
dpc,1b,Fd-3c,29,3,2
dpd,2,Fm-3m,17,3,2
dpe,2,Pm-3m,32,3,2
dtc,1b,P6(3)/mmc,41,3,7
eab,1b,P6(3)/mmc,37,2,5
eca,1a,P6(3)/mmc,7,1,2
ece,1a,P6(1)22,19,1,3
ecf,1a,P6(3)/mmc,19,1,3
ecg,1a,P6(3)/mmc,19,1,3
eci,1a,P4(1)2(1)2,13,1,3
ecn,1a,R3m,10,1,3
ecp,1b,P6(3)/m,19,1,3
ecr,1a,P3(2)21,19,1,5
ecv,1b,Fddd,13,1,4
edi,1b,P-4m2,6,2,3
edp,1b,Pa-3,49,2,4
edq,1b,Pm-3n,29,2,2
eea,4,R-3m,10,2,2
eed,1b,P4(2)/mcm,11,3,2
